Kondisi,Ambang,Recall,Specificity,Precision,F1,TP,FP,FN,TN
Tanpa SMOTE,0.3,0.727,0.7246,0.5355,0.6167,442.0,383.3333,166.0,1008.6667
Dengan SMOTE,0.5,0.7122,0.7344,0.5395,0.6139,433.0,369.6667,175.0,1022.3333
